itstId,itstNm,lat,lng,regDt
1843,낙원상가,37.573545,126.987680,2022-12-12T16:30:39.000+00:00
1846,구기터널,37.608468,126.956714,2022-12-12T16:30:39.000+00:00
1847,신영소방서,37.605831,126.960618,2022-12-12T16:30:39.000+00:00
185,인권빌딩,37.534245,126.863597,2022-12-12T16:30:39.000+00:00
1850,청계2가,37.568279,126.987686,2022-12-12T16:30:39.000+00:00
1851,창경궁,37.579041,126.996682,2022-12-12T16:30:39.000+00:00
1854,조계사,37.573943,126.982937,2022-12-12T16:30:39.000+00:00
1855,팔판동,37.581068,126.980253,2022-12-12T16:30:39.000+00:00
1857,정부서울청사,37.575758,126.974331,2022-12-12T16:30:39.000+00:00
186,용두119안전센터앞,37.578082,127.031738,2022-12-12T16:30:39.000+00:00
1861,우리은행효자,37.578118,126.971862,2022-12-12T16:30:40.000+00:00
1863,종로3가,37.570420,126.992138,2022-12-12T16:30:39.000+00:00
1864,청계4가,37.569031,126.997923,2022-12-12T16:30:39.000+00:00
1865,동묘앞역,37.573022,127.015634,2022-12-12T16:30:39.000+00:00
1866,성균관대입구,37.583016,126.998750,2022-12-12T16:30:39.000+00:00
1867,국립과학관,37.581494,126.997005,2022-12-12T16:30:39.000+00:00
1871,LG전자,37.481513,126.950418,2022-12-12T16:30:40.000+00:00
1873,낙성대입구,37.478527,126.959885,2022-12-12T16:30:40.000+00:00
1882,강서운전면허시험장입구,37.549364,126.819563,2022-12-12T16:30:40.000+00:00
1893,강서한강자이타워,37.565640,126.846572,2022-12-12T16:30:39.000+00:00
1899,한강대교북단,37.522419,126.961776,2022-12-12T16:30:39.000+00:00
1904,목동월드파크빌,37.540871,126.863745,2022-12-12T16:30:40.000+00:00
1911,동일로주유소,37.567947,127.078592,2022-12-12T16:30:40.000+00:00
1917,은일로즈힐아파트,37.516312,126.836957,2022-12-12T16:30:39.000+00:00
1918,신화중학교,37.539501,126.830903,2022-12-12T16:30:39.000+00:00
1921,삼일빌딩앞,37.562707,127.000321,2022-12-12T16:30:39.000+00:00
1922,홍은풍림아파트,37.595159,126.940285,2022-12-12T16:30:39.000+00:00
1923,홍제역,37.588005,126.945108,2022-12-12T16:30:39.000+00:00
1924,무악재한화아파트,37.582739,126.950141,2022-12-12T16:30:39.000+00:00
1926,안산초교,37.580580,126.951786,2022-12-12T16:30:39.000+00:00
1929,서울역R,37.557050,126.972624,2022-12-12T16:30:39.000+00:00
1946,청계광장,37.569415,126.977198,2022-12-12T16:30:39.000+00:00
1963,대명신협,37.578657,127.040390,2022-12-12T16:30:39.000+00:00
1971,평안섬유공업사,37.589150,127.058913,2022-12-12T16:30:39.000+00:00
198,신도림역,37.510226,126.890368,2022-12-12T16:30:39.000+00:00
1988,그랜드마트,37.559661,126.838633,2022-12-12T16:30:39.000+00:00
199,신도림주민센터,37.505764,126.883605,2022-12-12T16:30:39.000+00:00
1990,팬코,37.560770,126.838986,2022-12-12T16:30:39.000+00:00
1991,등촌1-10단지,37.563219,126.839794,2022-12-12T16:30:39.000+00:00
1992,대륭드림타운,37.566550,126.840844,2022-12-12T16:30:39.000+00:00
1999,원남동사거리,37.575913,126.997349,2022-12-12T16:30:39.000+00:00
200,구로역,37.503025,126.879809,2022-12-12T16:30:39.000+00:00
20001,이촌역앞(연등),37.522979,126.972103,2022-12-12T16:30:39.000+00:00
20009,구로경찰서(연등),37.494341,126.887073,2022-12-12T16:30:40.000+00:00
20026,삼성동센트럴아이파크(연등),37.516277,127.051605,2022-12-12T16:30:39.000+00:00
20030,강남세무서(연등)1,37.518419,127.048010,2022-12-12T16:30:39.000+00:00
20034,논현지구대(연등),37.512776,127.026808,2022-12-12T16:30:39.000+00:00
20035,전기공제회관(연등),37.514299,127.020120,2022-12-12T16:30:39.000+00:00
20036,국제기술학교(연등)1,37.518142,127.028807,2022-12-12T16:30:39.000+00:00
20038,영동고(연등)1,37.521664,127.039641,2022-12-12T16:30:39.000+00:00
20039,청담천주교회(연등),37.521505,127.048797,2022-12-12T16:30:39.000+00:00
20041,우리은행청담(연등),37.522263,127.055811,2022-12-12T16:30:39.000+00:00
20042,영동대교남단(연등),37.524851,127.052718,2022-12-12T16:30:39.000+00:00
20045,학동(연등)1,37.523502,127.041606,2022-12-12T16:30:39.000+00:00
20046,도산공원(연등),37.522128,127.035730,2022-12-12T16:30:39.000+00:00
20047,삼화콘덴서(연등),37.520933,127.031953,2022-12-12T16:30:39.000+00:00
20054,청담초교(연등),37.526604,127.045408,2022-12-12T16:30:39.000+00:00
20056,광림교회(연등),37.526115,127.026358,2022-12-12T16:30:39.000+00:00
20057,현대고(연등),37.523433,127.021038,2022-12-12T16:30:39.000+00:00
20058,한남대교남단(연등)1,37.522381,127.019075,2022-12-12T16:30:39.000+00:00
20064,한양타운(연등),37.525780,127.039991,2022-12-12T16:30:39.000+00:00
20077,롯데백화점도곡(연등),37.497379,127.056202,2022-12-12T16:30:39.000+00:00
20082,쟁골마을(연등),37.483224,127.104478,2022-12-12T16:30:39.000+00:00
20086,헌인릉입구(연등),37.460053,127.080002,2022-12-12T16:30:39.000+00:00
20089,세곡동사거리(연등)1,37.464849,127.109960,2022-12-12T16:30:39.000+00:00
20093,자곡사거리(연등),37.475238,127.105290,2022-12-12T16:30:39.000+00:00
20097,대왕중교(연등),37.484040,127.089166,2022-12-12T16:30:39.000+00:00
20098,태화복지관앞(연등),37.484832,127.092701,2022-12-12T16:30:39.000+00:00
201,중앙유통단지,37.501148,126.877234,2022-12-12T16:30:39.000+00:00
2010,강서도로사업소,37.572729,126.829974,2022-12-12T16:30:39.000+00:00
20101,수서역(연등)1,37.488424,127.100301,2022-12-12T16:30:39.000+00:00
20109,서초삼성스위트아파트(연등),37.494006,127.025632,2022-12-12T16:30:39.000+00:00
20130,목동사거리(연등),37.532701,126.866082,2022-12-12T16:30:39.000+00:00
20133,목동역(연등)1,37.526293,126.863500,2022-12-12T16:30:40.000+00:00
20134,"남부법원,검찰청(연등)",37.524412,126.864834,2022-12-12T16:30:40.000+00:00
20142,한진해운빌딩앞(연등),37.524733,126.924865,2022-12-12T16:30:40.000+00:00
20146,탑성마을(연등),37.459754,127.054325,2022-12-12T16:30:39.000+00:00
